Theater Name,Review date,Local Guide,Star rating,Review content,Sentiment Polarity,Subjectivity
Violet Crown,1/24/2025,TRUE,5,"What an awesome, little theater! We were fortunate enough to see a matinee on a weekday and have the entire theater to ourselves. The staff was very welcoming, the theatre and restrooms were clean and the seats were comfortable. I'm glad we came here! The new release movie was okay.",0.308514,0.643595
Violet Crown,1/23/2025,TRUE,5,Great spot to see a movie while in downtown Charlottesville.,0.8,0.75
Violet Crown,1/16/2025,TRUE,5,,,
Violet Crown,1/9/2025,TRUE,5,,,
Violet Crown,1/2/2025,FALSE,5,,,
Violet Crown,12/15/2024,TRUE,5,,,
Violet Crown,12/15/2024,TRUE,5,"Its a quiet little bar, and always a great selection of movies. The popcorn is always on point, and i appreciate the self service drink fountain. It is one of our favorite places here.",0.278125,0.645833
Violet Crown,12/15/2024,TRUE,4,,,
Violet Crown,11/15/2024,TRUE,4,Great theater but so loud. My ears hurt so bad. Please please please please please make it less loud,0.026667,0.616667
Violet Crown,11/15/2024,TRUE,5,"November 21, 2024 - Downtown Charlottesville has a quaint mall area that’s closed to cars . . . Great place for tourists that enjoy a variety of shops , restaurants, and movie theaters, etc.  My wife and I drove up from Waynesboro to catch an early 4:30 showing of Conclave with actor Ralph Fiennes . . . at Violet Crown Cinema!As Thanksgiving approaches, the mall is beginning to decorate for the holidays. This theater is owned currently owned by the Texas Elevate Entertainment Group from Texas, purchased in October, 2023.  The Violent Crown Cinema was opened in 2010. It’s been renovated into more of a cafe/pub scene. Hey, their beer list 🍺 much more than Miller, Bud, Coors . . . a more expensive craft selection of beers😃👍🏼👍🏼👍🏼Movie tickets & seats selected on line if you wish . Not many folks in our theater showing Conclave . . . My wife loved her buttered popcorn. Made fresh! I sampled the Port City  Porter ( 7% alc.) and decided on the Aleworks Tavern Brown Ale 🍺 ( flavored with caramel, dash of chocolate, nuts, at 6.2% alc. ). Very good beer 😃👍🏼with a large soft & heated pretzel & stone ground mustard !  Stadium seating, comfortable leather chairs , with cup holders! Great!Those who seek beverages . . .  red & white wines , over 20 beer choices , and some hard liquor choices, and sodas, available.Those who seek food. . . Queso cheese & chips, soft pretzels, hot dogs, pizza , candy, cookies, and popcorn available.This movie theater displays a variety of movies! Currently they are ramping up several traditional Christmas movies . . . Chevy Chase’s Christmas Vacation, Grinch, It’s a Wonderful Life are all coming. You also have the big A-List movies . . . Gladiator 2 , Wicked, Moana 2, A Real Pain, Anora, etc. Occasionally Silent Movies are shown once a month. . . Great for those who’ve never experienced such a film! Try it !Kudos to Thomas Jefferson . . . He planned out his home, Monticello & University of Virginia! Charlottesville is a wonderful city & university campus that draws so many visitors & students ! Nice area to live & visit!PS . . . Parking validation available for those who park nearby at Market Street & Water Street city parking garages!   (Free )",0.235697,0.530269
Violet Crown,11/15/2024,FALSE,5,"A big thank you to the Violet Crown! The staff was super friendly, professional, and accommodating after a sudden (and very badly timed) storm took out the electricity for half of downtown just before the Wicked early access showtime last night. We were attending with family who had already driven in from Richmond, and were so disappointed to arrive to a dark theater.  But the staff let us come into the restaurant space and assured us they were committed to showing the movie if the power came back on.  In the end, we had a fun time waiting (with fingers crossed) and ultimately got to see a great movie and enjoy fresh popcorn!",0.047451,0.433333
Violet Crown,11/15/2024,TRUE,3,It looks dated and run down,-0.15556,0.288889
Violet Crown,10/15/2024,TRUE,5,Nice theater with many screens and both new and old movies to choose from.,0.334091,0.538636
